,comment_author,star_rating,comment_date,comment_title,comment
2989,BLONDEinGV,5.0 out of 5 stars,"Reviewed in the United States on August 20, 2012",Surprisingly...Awesome!,"  I'm no vegetarian, and am certainly not a ""granola girl,"" yet I find these so amazingly tasty! There's just a moderately salty crunch at first, and then they basically ""melt in your mouth."" The flavor is exactly like the seaweed wrapped around sushi rolls; no ""fishy"" taste.Like other reviewers, I initially decided to try these because (1) they're crazy-low in calories, and (2) I'd heard about how healthy seaweed is. So glad I did! These - remarkably - satisfy my husband's salty-crunchy cravings, so we don't buy any potato chips/tortilla chips/pretzels/popcorn anymore!I really wanted to dock a star for (1) wanting to eat more than are in each package (aka: the package is too small), and (2) because they're pretty pricey compared to other salty-crunchy snacks. But, I just couldn't do it. They are too darn delicious! I would buy these in bulk at Sam's Club if I could!Side note: I haven't done any research on the health benefits of dried v. fresh seaweed. I suspect that fresh has many more vitamins/nutrients, but that's purely my own speculation. If anyone has any info on this...please comment on my review so I can take a look. Thanks!"
2990,NICOLE BILLERA,5.0 out of 5 stars,"Reviewed in the United States on September 15, 2016",Addicted.,  I get these from trader joes. I had them a few years ago and HATED them!!! Thought they were nasty! Fast forward to now. I am eating a low carb diet and wanted a snack so I bought some knowing my husband likes them so if I hated them again it wouldn't go to waste. I tried one... ugh... yuck. Tried it once more and then I was hooked. Now I am lucky if I don't eat a whole package.  It is an acquired taste. So you really can't judge by the reviews. I once hated them now I love them.
2991,LC,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2012",If heaven came in a bag ...,"  It would be called Trader Joe's Roasted Seaweed Snack.These dried pieces of seaweed are lightly coated in sesame oil and salt for a crisp, delicious snack. I'd never tried roasted seaweed before but I decided to give them a try. Needless to say, I now consider myself a seaweed addict.Seaweed has many healthy things in it that we most likely don't get from other sources of food we eat. The best thing about this snack is that you can eat the whole bag (and trust me, you will) and it's only 60 calories.You will pay a lot lower price if you buy it in the store rather than from Amazon. Not everyone has a local store to them so at least you have somewhere to buy this yummy treat!"
2992,Brittney smittney,5.0 out of 5 stars,"Reviewed in the United States on August 9, 2012","Try Them! Healthy, Low Calorie, Yummy Treat","  I've been trying new things I wouldn't ordinarily even think of trying because they're healthy for me. My initial reaction wasnot so great, but I could deal with eating them because they're good for me.  So days later, had more....okay I could deal with them a little better.Then, days later I realized I was sitting at my computer & just popping them into my mouth & I was REALLY LIKING THEM A LOT.  Only 60 calories for the whole package.  They are flakey, lightly crunchy, & lightly salty in tast.  Sure beats having potato chips.  I went to trader joes & purchased 15 boxes for 99 cents each box just to make sure they're in the house when I get the munchies.Definitely try them & give them a chance..."
2993,Zigster USA,5.0 out of 5 stars,"Reviewed in the United States on April 12, 2017",Buy it at Trader Joe's,  I buy them at Trader Joe's and they're only 99 cents per pack.
2994,Dog lover,5.0 out of 5 stars,"Reviewed in the United States on March 21, 2011",Great treat,"  What everyone who loves these needs to know is that if you have a Trader Joe's in the neighborhood and they don't stock this, or stock it intermittently, they will be quite happy to order a supply for you. That's what one of the helpful crew members at our local TJs told me, and it is definitely true. Now I have enough for a month or two (30 packages, purchased at the TJ price of $.99 each) and when I run out, I can order more."
2995,Kasey T.,5.0 out of 5 stars,"Reviewed in the United States on July 24, 2014",By far my favorite snack but I will continue going to the brick ...,  I eat these by the case! Looking at the price here I'm wondering why it's so much more than in-store? A pkg in store where I live is 99 cents! By far my favorite snack but I will continue going to the brick and mortar store instead of paying over twice as much for delivery!
2996,PaleoMom.PL,4.0 out of 5 stars,"Reviewed in the United States on November 1, 2018",Only 99 cents at TJ’s,"  These are great, but they only cost .99 at TJ’s. Thus the 4 stars. For those who complain about the fish flavor, have you ever tried seaweed or roasted seaweed? If not, others reading shouldn’t base their assessment on those reviews"
2997,moonwomyn,5.0 out of 5 stars,"Reviewed in the United States on November 11, 2012",Addictively Delicious,"  These roasted seaweed snacks are awesome! I cannot stop eating them once I start. The packets are easily one serving. The wasabi flavor is really good too! It has a bite to it that can be overwhelming if you are gorging on them like I do, so I  like to alternate between the plain and the wasabi to even out the flavor a little. Very healthy little treat. Word of advice, though: if you have an Asian grocery nearby, get them there instead of TJs. You can get a much larger quantity for a lot less money!"
2998,Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on February 10, 2013","Seaweed, really, really!","  If you told me that I would be praising seaweed as a snack, I would have said you were crazy! But here I am, telling you to run, not walk, to your local Trader Joe's store and pick up a few of these packs to snack on in the car. You may not believe it, but you will LOVE these delicious salty snacks!"
2999,Internet Man,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2012",So good!,  A buddy of mine offered me a piece of his seaweed snack and at first I was hesitant to try it since I'm a picky eater but after trying that first piece I came back for several more.  I had to stop myself from eating his whole bag.
3000,Kate Jessica Gallaher,5.0 out of 5 stars,"Reviewed in the United States on March 3, 2013",Can't get enough!,"  Love these! I seriously cannot get enough of them..I go into TJ's and come out with a bag full. I bring them to work for a midday snack and have gotten all my coworkers hooked on them too. They had about three - four shelves fully stocked with this at my local TJ's...i was in heaven!!HOWEVER I must say, if you do not enjoy seaweed/sushi or just that general oceany/fishy taste in food this is most likely not for you...As everyone else is saying...it's good & good for you I do wish the packaging was bigger, but the product itself is by far 5 stars!"
3001,Steel Horse,5.0 out of 5 stars,"Reviewed in the United States on March 7, 2011",Too addictive,"  It's suspicious when it's 8pm, rainy, and I'm contemplatinga run to Trader Joes for seaweed... Are we so sure it's onlyseaweed and salt?  Whatever it is I LOVE IT. Great snackwith very little guilt attached."
3002,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on April 19, 2012",Addictive and delicious!,"  This review is going to sound very different from a normal one.First off, I would like to point out that yes, I gave it four stars on purpose.  Please keep that in mind and read this very thoroughly.I hate these snacks.  I hate them because they are so insanely addictive, I find it nearly impossible to ""just have one.""  Invariably, I end up consuming the entire package grinning like a giddy schoolchild.  Even if I put them away, I will inevitably find myself searching the package out, just so I can have one more.. and then again, and again, until the package is finally empty, and then I am sad.I hate them because of their fun, paper-thin texture, which makes it seem like you've some piece of unique candy, then it turns out to be a delicious, slightly salty, somewhat chewy snack which makes your brain scream 'Oooh, yay, SUSHI!' only for it to suddenly turn nutty in a twist which makes me want to have just one more to experience that fun crinkle of the sheets (for they are super-thin sheets of dried, roasted seaweed), the YAY of incoming sushi, that slightly chewy transformation, and then they dissolve into almost nothingness, leaving you reaching for another one.I hate them because the pack lasts about 45 minutes.  An hour and a half, if I'm demonstrating exceptionally strong willpower for the day.  Possibly longer if I can manage to convince someone *else* to hide them from me.I hate them because said pack gives me 40% of my Vitamin C for the day in less than half an ounce of actual dried seaweed.  And something that tastes so very delicious isn't supposed to be that healthy.  Bacon doesn't give vitamin C.  These snacks do.  That's confusing.  Snacks are supposed to be guilty pleasures, not delightful dietary supplements.I hate them because the only physical store that carries them in my area is Trader Joe's, and I always end up opening the pack after they are closed.  So when the package is empty and I am sad, I must wait until morning to ""get my fix"" again.I hate them because I ate an entire package while writing this review.  And now it is gone.  And now I am sad.  Thankfully, though, I can get them here and have them delivered to my door.  I might have to order a few of the six packs, though, to last me until the next order I place can arrive.  I'm working out a rationing calendar that I probably won't stick to for more than an hour.And finally, I hate that I don't hate these at all, but am hopelessly and utterly addicted to them.  Seaweed Anonymous, thou art my name."
3003,J. Schupp,5.0 out of 5 stars,"Reviewed in the United States on May 27, 2012",very good and VERY addictive,  just a nice snack to munch on. it doesn't have a lot of calories and it's very light and crispy. trader joe's sells them for only 99 cents a pack so you can't beat the price!
3004,Kindle Customer,4.0 out of 5 stars,"Reviewed in the United States on February 28, 2011",awesome!,"  I like this one better than Annie Chun's brand because it is lower in sodium, 50mg instead of 70ml.  The other one is too salty for my taste.  However Annie Chun's brand has a better aroma since it is roasted in sesame oil.  Every time I buy them, 20 at a time, I got a lot of stares from the people in line!  :)  My daughter, who is 4, can eat 2 packs of Trader Joe's brand at a time but she wouldn't eat but 2 sheets from Annie Chun's."
3005,Leon deVose,4.0 out of 5 stars,"Reviewed in the United States on July 2, 2012",Delicious!  You Will Think You Are Being Bad...,"  All I can say is that they are deliciously seasoned, nicely textured and habit forming.  My son brought some home one night from his new job.  Now I am constantly craving this stuff.I must thank my son for making me a 'weed-head.Only four stars, because I need a bigger package!So if you see a guy outside Trader Joe's playing sax for TJ 'weed, please be generous to me - oops- to him."
3006,music mom,5.0 out of 5 stars,"Reviewed in the United States on March 26, 2012",???,"  So I do love this product, but if you are only getting 6 packs, (unless maybe it is 6 multi packs?), the cost is twice as much as it is in the store."
3007,lavk,5.0 out of 5 stars,"Reviewed in the United States on August 20, 2012",Addicted!,"  At first I was not sure I even liked it but then i gave it another try and I'm sure glad I did. It is the perfect snack for a dieter, it gives you your salt fix all the while being fairly guilt free. Help reduce food cravings mid day."
3008,D. Pawl,5.0 out of 5 stars,"Reviewed in the United States on February 22, 2011",these are so good and addictive...,"  Trader Joe's Roasted Seaweed Snack is delicious and a great way to take the edge off of hunger!  This snack is delicately toasted in sesame oil, and come in little wafer thin ""slices"" of seaweed. The package is definitely something you could take on the go. I am not sure as to how long they keep - not that they will last that long. A great alternative to potato chips and more fattening foods!"
3009,kaisersuzuki,5.0 out of 5 stars,"Reviewed in the United States on April 25, 2013","Seriously, healthy crack...Get some.",  So freaking good.  I plow through these in like five minutes with the evidence strewn bnetween my teeth.  Really good.
3010,Jennifer M. Forman,5.0 out of 5 stars,"Reviewed in the United States on January 18, 2011",Delightful by any other name is TJ's seaweed,"  OMG, I was given seaweed as a kid by my father as a snack and when I saw these at Trader Joe's for 99 cents a package, I figured I would give it a try. It is like heaven in a package. Sooooo good. Run, don't walk, it's the best. Beats chips, pretzels and I even chose this over my beloved popcorn. FABULOUS!!!"
3011,Helen Scovel Grey,3.0 out of 5 stars,"Reviewed in the United States on October 26, 2010",Great product but almost twice the price,"  My kid - and others - love these.  We can't buy enough of them.  Trader Joe's have occasionally been out of thembut has not been permanent. At our local one, they have been back in stock for quite a while now and we fortunately haveno trouble getting large quantities of them.  I was looking for some type of bulk deal but I admit my first reactionto having found this was the same as the first reviewer...  why would I pay so much more? I suppose it's possible Imay change my tune later...  The product itself is great.  ""Good and good for you."""
3012,Tere Maldo,1.0 out of 5 stars,"Reviewed in the United States on July 19, 2016",If you don't like fishy tasting food,"  Nastiest thing I've ever eaten! Yuck! If you don't like fishy tasting food, you'll hate this. To me it taste like rancid cod liver oil."
3013,heyrey,5.0 out of 5 stars,"Reviewed in the United States on August 26, 2012",I buy these in packs of 6 from the store,  I call these my dark addiction. I think the secret ingredient is crack or powdered unicorn horn. My ritual is to lay out a paper towel and inhale them one by one. Be careful if you try these... you may get addicted :(
3014,gene,5.0 out of 5 stars,"Reviewed in the United States on September 13, 2012",trader joes seaweed snack,"  i have been reading about super high doses of iodine in seaweed..indicating can lead to thyroid cancer..is this safe for children, who can eat several packages a day ?? thanks."
3015,Victoria,1.0 out of 5 stars,"Reviewed in the United States on March 13, 2017",Salty vomit paper,  Actually made me puke! I was not expecting it to taste like that and it has a weird texture. Don't waste your money!
3016,K. Kircher,1.0 out of 5 stars,"Reviewed in the United States on June 5, 2012",Low tide,"  I bought these because I have read a lot about the health benefits of seaweed and thought I would give them a try.  For .99 I figured I couldn't go wrong.  Yuck.  They taste like low tide.  I guess  they are authentic. I also had my son try them - who as a toddler would eat the cat's food (not because we fed it to him) and strangely to this day likes the smell of it.  Anyway, it made him gag.  I have never been disappointed with TJs.  Maybe these are good for all the crunchy granolas out there, and compared to other similar seaweed snack products, but we thought they were nasty."
3017,TM,1.0 out of 5 stars,"Reviewed in the United States on November 1, 2014",Yuck,  Yuck!
3018,thal13,2.0 out of 5 stars,"Reviewed in the United States on August 8, 2012",Like going down on a dead horseshoe crab,"  I gave it two stars cause my friend likes it and she smarter than me. When she asked me to try it, my face puckered.  It's possible that the taste was tainted (pun intended) by a trader joes dark chocolate/powerberry/dingleberry, but I'll be sticking to the chili lime cashews and wasabi almonds from now on."
3019,Proofs and Truths,2.0 out of 5 stars,"Reviewed in the United States on January 27, 2012",It tastes like bay water.,"  I received a package of Trader Joe's Roasted Seaweed Snack for my 23rd birthday. Growing up deeply entrenched in Asian cuisine, I knew before trying it that it was more than likely not going to be to my tastes. If you like products such as grass jelly or sushi, or anything that is pungent and tastes like plant material without being om nom nom delicious, this is for you.This product is not recommended for small children. There's not enough sugar in it.This product is also not recommended for vegans and seliacs. While it is gluten free and animal-product free, you can do something better for yourselves by finding an alternative snack without the bay water flavor.This product is not recommended for people with heart disease or who are at risk for developing heart disease. It's a high sodium choice.This product is not recommended for alcoholics. You'll start drinking again.This product is not recommended for cigarette smokers. Save your money for your cancer sticks.This product IS recommended for users of Mountain Dew, grass or ai ju jelly, pickled radish, bean thread, sushi, menudo, mole sauce, adobo sauce, specialty bell peppers, bouncy balls, pencil and pen erasers, rubber soles, rubber in general, motor oil, gasoline/petrol, radioactive isotopes, unidentified rare earth metals, tapeworms, Buffalo Bills fans, fruit cake, Hostess snacks, corn, rat, and/or chicken snakes, parents of teenagers (for use as a punishment agent on those late night sneak outs), water bottles, organic milk, Tuscan Whole Milk, Three Wolf Moon shirts, wolf shirts in general, Twilight readers, and insomniacs.The flavor matches wonderfully with a fresh whole rabbit, such as the one listed on this site.I would rate it higher than two stars in the regards that it's a wonderful seaweed product. However, I don't like it. That's the definition of two stars."
3020,R. Beckner,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2013",D-E-L-I-C-I-O-U-S,"  Great snack, I could eat all 6 packs at one sitting. Not too salty, taste just right. (3 more words required)"
3021,Susan P Knowlden,5.0 out of 5 stars,"Reviewed in the United States on March 23, 2019",Excellent product,  Snacks. Kids love it.
3022,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on December 20, 2018",Pacakaging didn’t handle with care,"  I love this snack.  However, there is a hole on the package when I receive the order. Wonder what could have gone inside and don’t even wanna open to eat it. And no return. :("
3023,LuxLady,5.0 out of 5 stars,"Reviewed in the United States on December 6, 2018","Yes, it’s dangerously addictive","  Yes expensive for a snack... but worth it because it is such a treat. I will happily sacrifice 6 bags of regular potato chips just to have one bag of this. It arrived a few days ago from Hong Kong (the only other country they sell this out of). I told myself I would eat only a little and savor the rest. Yeah, the bag didn’t even last an hour. One thing I forgot to do was turn the bag upside down and give it a little shake so all the flavor can be dispersed. No worries though, I still ate it all anyway."
3024,Video Queen,4.0 out of 5 stars,"Reviewed in the United States on August 20, 2018",Delicious but too pricey,"  I was recommended this product by a friend from Singapore where the product is made. It is as tasty as my friend said it would be, but I think it is way too expensive at $27.59 for 105g."
3025,K,2.0 out of 5 stars,"Reviewed in the United States on January 25, 2019","Expensive, sort of chalky, slightly sweet.","  Though this is probably slightly healthier than regular chips, the flavor and texture are odd.  I like salted duck eggs and I like salmon skin, but this was a little bit sweet and smelled a bit fishy.Sweet + seafood + chalky texture from yolk = kinda weird/gross?Perhaps if this had been less chalky and just savory and spicy, it would've been better.  Seafood that's sweet and chalky is not appealing to me; I wish I had known the ""salted egg"" actually was a bit sugary in flavor."
3026,K,5.0 out of 5 stars,"Reviewed in the United States on November 7, 2018",Delicious salty crispy goodness,"  It's so farrrr, but it taste so good. It's a shame you can only get the original from singapore and the company doesn't ship it internationally so you have to find 3rd party sellers. That said this brand of fish chips are really good. The chips r not overly salty, just the right amount of savory and not particularly strong smelling. There are also small crispy green stuff inside, not sure if it is basil or parsley or some other fragrant edible green."
3027,Paley,4.0 out of 5 stars,"Reviewed in the United States on January 20, 2019",delicious as promised,"  So much flavor, lots of different notes of spices (chili, curry leaf), not just salted egg yolk. No fishiness like the other salt fish skin snack (of course that was much cheaper). After hearing that this is much better from different friends and watching an video about IRVINS founder, I was willing to shell out to try it and it delivered.Shipped from overseas and I expected it a month or two after I ordered, but pleasantly surprised I got it in East coast US in 2 weeks."
3028,M. Chang,5.0 out of 5 stars,"Reviewed in the United States on November 5, 2019","Expensive, but worth it","  These do seem expensive, but it's a lot cheaper than trying to get a plane to Singapore to buy it yourself! These are as dangerously addictive as they claim to be, so I'd recommend you keep them someplace separate from your home so you don't end up eating the whole bag at once. Another thing you might do is immediately open the bag and separate the contents into smaller bags or containers so you somehow limit yourself (or slow yourself down)."
3029,eDude,4.0 out of 5 stars,"Reviewed in the United States on May 22, 2019",I loved this unhealthy snack!,  I ordered this on 5/7 and received it on 5/22/19!  I loved this unhealthy snack and craved for it since I returned from Asia.
3030,Speaker for Myself,5.0 out of 5 stars,"Reviewed in the United States on February 15, 2019","Wow, as good a potato chips",  I love fish so I thought I would like these but I don't.  I love them!  They are crisp and crunchy like potato chips and the seasoning really adds to the flavor.  I can see why these are a favorite in Asia.  They are much healthier than potato chips and other junk snacks but are really healthy.  I will buy more.
3031,Masa,4.0 out of 5 stars,"Reviewed in the United States on April 17, 2020",ADDICTING but expensive,  Salted egg = awesome!Crispy fish skin = awesome!!$4.90/ounce = not awesomeThis snack is definitely addicting and tasty but the trade-off is that it might as well be covered in gold flakes.
3032,Melissa A,5.0 out of 5 stars,"Reviewed in the United States on May 13, 2020",My kid loved these,"  Bought these for my son, he loves this type of flavor. He loved these! It was a once in a while treat due to the expense but totally worth it for how much he enjoyed. Excellent quality delicious snack, as advertised in every way. Very well and carefully packaged and shipped. Definitely recommend."
3033,M.J,1.0 out of 5 stars,"Reviewed in the United States on May 18, 2020",DO NOT BUY!!! DO NOT BUY!!! NOT WORTH ALMOST $20!!!!,"  This Bag is a RIP OFF! You can buy the SAME SMALL size in a Local Asian Market for $7.00!! Not only did I feel CHEATED for the $18 it cost me,but they WERE NOT EVEN FRESH!! They were HARD AND GRITTY AS ROCKS!!..Save your money!!!...DO NOT BUY!!..The other Brand(Fragrance) taste so much better and is always FRESH!!!"
3034,Bonnie,5.0 out of 5 stars,"Reviewed in the United States on May 17, 2020",Fattening & addicting,"  Dangerously addicting!  I can finish the bag in one sitting. The con is that it’s super fattening. That being said I would still recommend it, it’s that delicious!"
3035,Jessica,3.0 out of 5 stars,"Reviewed in the United States on June 1, 2020",Good favor but pricey,  It’s is good favor and every time you eat just more and more.  Only issue I have is really pricey for small amount of fish skin and it take long time to getting it since it ship from Singapore. I have been waiting for three weeks already for my second order.
3036,shiningshell,4.0 out of 5 stars,"Reviewed in the United States on August 2, 2020","Addictive, a bit on the sweeter side",  It’s mostly good but didn’t live up to the hype I thought - it’s not egg-yolky enough and a bit on the sweeter side. Still super additive!! I finished the packet in 2 days!
3037,lara kokoro,2.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Over price,  Recommend by my friends. But too over price price for little bags. Would not buy again
3038,an2ny79,5.0 out of 5 stars,"Reviewed in the United States on March 11, 2020",One tasty and addicting snack,"  Rich in flavor and totally addicting snacks. This is one of my favorite, a real finger licking good!"
3039,C. Peterson,4.0 out of 5 stars,"Reviewed in the United States on June 17, 2020",Considerably cheaper elsewhere,"  Yeah. They are good. But don’t let these price gouchers fool you. You can buy the same exact thing at Costco, in a single pack, for about $11."
3040,Sunshine in the rain,3.0 out of 5 stars,"Reviewed in the United States on February 29, 2020",Too pricey for the taste,  It is delicious but not as great as most of the reviews. And too pricy. Won’t buy it again for sure
3041,myme,4.0 out of 5 stars,"Reviewed in the United States on June 19, 2019",taste good,  taste really good but really really expensive. My friends have been raving about this product and I was glad that i had the opportunity to taste it.
3042,Eastwest,4.0 out of 5 stars,"Reviewed in the United States on January 28, 2020",Well Packaged,"  Shipping took awhile, but product came inside a box so pieces remained whole. Nice salted egg flavor."
3043,Virginia T.H.,5.0 out of 5 stars,"Reviewed in the United States on January 9, 2020",Taste great,  Shipping might have caused fish skin chips to break into lots of tiny pieces.  Still edible.
3044,Deborah A Wright,1.0 out of 5 stars,"Reviewed in the United States on July 26, 2020",Horrible tasting!!!!,  I really wanted to like the fish skins but couldn't stand the overpowering stinky fish smell & taste!!!  I would love to try the salmon skins.Very expensive cat treats..... hahahaI would love to try the salmon skins.I will never buy these again!!!
3045,Yihong Chen,5.0 out of 5 stars,"Reviewed in the United States on July 11, 2020",Yummy snack,"  Definitely expensive but very yummy. They also have a potato chips flavor where the chips are not as thick. This one also offers a slight fish flavor, nothing fishy, just umami. Nice savory taste with a little kick to it. It’s so addicting and high calorie im kinda glad it’s expensive so I won’t just buy 10 and eat them all."
3046,Emil Navarrete,3.0 out of 5 stars,"Reviewed in the United States on May 28, 2020",Original but not the best anymore,  Seems like they reduced the salted egg flavoring
3047,NT,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2019",Worth the wait.,  So crispy and delicious! Can’t stop this thing when started.
3048,Vivian,5.0 out of 5 stars,"Reviewed in the United States on August 7, 2020",I love it!,"  This is the best fish skin I've ever tasted. I love it! Crispy skin and plenty of ingredients! The seller also delivered goods very quickly, arrived a week! Only one drawback: Expensive! And the portion is not big, very quick eat up! I'll buy more if I can get it cheaper"
3049,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on July 11, 2020",so addictive....worth it!,"  yes, its pricey, but so worth it. its not your every day snack-  so indulge when you can.  I crumble it  as garnish over my homemade sushi. so addictive. I had to hide it from my kids who devoured my first  bag in minutes! Delicious!"
3050,Vhinzz55,5.0 out of 5 stars,"Reviewed in the United States on July 2, 2020",salted egg fish skin,  Fast shipping! My girlfriend really like it. Great taste not too salty. Highly recommended.
3051,Chevy,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2018",Yummy!,  Tasty! I bought just one as I wanted to make sure it was good before I purchased more and im happy to say it's really good. Will be getting more now!
3052,archer1017,1.0 out of 5 stars,"Reviewed in the United States on September 9, 2019",Buy in a trusted seller,  I order this in a different seller and the chips arrived and taste perfect but from this seller the chips is not crispy anymore and taste like expired
3053,coju88,5.0 out of 5 stars,"Reviewed in the United States on March 13, 2020",Came in earlier than expected. Exactly what I’ve been looking for,  Came in earlier than what I expected. Will buy some more. 👌
3054,otaku_4ever,5.0 out of 5 stars,"Reviewed in the United States on September 20, 2019",Worth it,  2x time ordering.  Got here faster then expectedThey're delicious af
3055,Owen,4.0 out of 5 stars,"Reviewed in the United States on June 11, 2019",Yum but pricey,  It’s sooooo yummy. I just can’t stop eating it. But I don’t think I’ll buy it again considering the price.
3056,James Sae,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2019",This will make you wish you had friends living in SGP.,"  Loved these chips, hated paying the price for them though. But they are very good, they live up to the hype!"
3057,LMK,5.0 out of 5 stars,"Reviewed in the United States on May 27, 2020",Expensive,  Good but expensive.
3058,Evelyn,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2019",Expensive,"  Cool, but it is toooooo expensive!"
3059,SZE Y.,4.0 out of 5 stars,"Reviewed in the United States on January 6, 2019",don't taste as good as I used to eat,"  this one doesn't taste as good as I used to eat in China, maybe because they updated the product I guess."
3060,NYCshopaholic,5.0 out of 5 stars,"Reviewed in the United States on March 4, 2020",Yummmmm,  So delicious!!! Can’t stop!
3061,Billy Bathgate,5.0 out of 5 stars,"Reviewed in the United States on December 11, 2018",Yummy,  Absolutely delicious and crispy. It was a little greasy but very tasty.
3062,Thane A Smith,4.0 out of 5 stars,"Reviewed in the United States on January 21, 2019",Good but not the same as in Singapore.,  These are very delicious and almost as good as the ones I had in Singapore. The ones in Singapore are lighter and not as hard. Both are nice and crispy.
3063,Telyn1021,5.0 out of 5 stars,"Reviewed in the United States on June 4, 2019",So addicting,  I already made a review.
3064,Game Junkie,5.0 out of 5 stars,"Reviewed in the United States on August 5, 2019",a bit salty but good,  I like it
3065,Cristina L. Martell,4.0 out of 5 stars,"Reviewed in the United States on May 18, 2019",I can't stop eating this!,  It's so good! So addicting!
3066,Sherry,5.0 out of 5 stars,"Reviewed in the United States on April 14, 2019",Nice taste,  Nice fish skin. Love it
3067,Stuart Connolly,4.0 out of 5 stars,"Reviewed in the United States on February 21, 2020",Pleasant and tasty surprise,  Don't know why Amazon won't let me say I got this when I've had it for weeks but it's very good. Not what I was hoping for but still a pleasant surprise and I will be buying it again.
3068,Thao P.,3.0 out of 5 stars,"Reviewed in the United States on February 3, 2020",Kind of disappointing,"  I know what salted egg taste like and enjoy that favor. However, the salted egg's favor here is mild. For anyone who hasn't had salted egg before, you might like it."
3069,mrslisam,3.0 out of 5 stars,"Reviewed in the United States on December 13, 2018",just ok,  wasn't worth the hype
3070,Tracy Nguyen,5.0 out of 5 stars,"Reviewed in the United States on May 3, 2020",Pricey but delicious!,  SO GOOD! One of my favorite chips ever! Could eat these continuously
3071,A picky consumer,5.0 out of 5 stars,"Reviewed in the United States on January 2, 2019",Truly addictive,  Delicious!  A friend of mine from Singapore brought these to me last year and I loved them.  Bought them on Amazon and it was exactly the same.
3072,Gordon Wang,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2020",Snack Tastes Great,  The snack itself is as claimed: dangerously addictive. Watch out for your wallets.
3073,Christine Glaser,5.0 out of 5 stars,"Reviewed in the United States on April 10, 2019",You Have To Try These!! AMAZING!!!!!,"  The flavor is not “fishy” like I was worried it would be. You taste the egg yolk which is sweet, then a hint of spice. These are a great value for your money. A must try!!!!!!!!"
3074,Peikang Hu,5.0 out of 5 stars,"Reviewed in the United States on August 29, 2019",Taste good but too expensive,  Taste so good! Just a little expensive.
3075,Ruby Alexander,5.0 out of 5 stars,"Reviewed in the United States on August 10, 2019",Amazing!,  It is so delicious! I will order over and over again
3076,Bunga Bunga,4.0 out of 5 stars,"Reviewed in the United States on August 27, 2019",items arrived,  tasty
3077,fang chen,5.0 out of 5 stars,"Reviewed in the United States on December 27, 2018",D E L I C I O U S,"  this is delicious, only wished the bag was bigger. finished it QUICK!!!"
3078,Zubenel Genubi,3.0 out of 5 stars,"Reviewed in the United States on August 5, 2018",Expensive,  Incredibly expensive but definitely tasty
3079,Wen Lu,5.0 out of 5 stars,"Reviewed in the United States on May 4, 2019","Most unique snack I’ve ever had, it is dangerously addicting","  First time I had them I was in Singapore.  I was instantly hooked! I’m so glad I found them on amazon when I’m back in the state.  The shipping is fairly fast, but it is not a cheap snack."
3080,woohopper,5.0 out of 5 stars,"Reviewed in the United States on July 7, 2018",Five Stars,  very addictive indeed/
3081,Rick Friedman,4.0 out of 5 stars,"Reviewed in the United States on July 25, 2018",Sooooo good. Would be 5 stars if it was not ...,  Sooooo good. Would be 5 stars if it was not as crazy expensive. Nice gift to myself once in a blue moon though.
3082,SOPHIA S,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2019",NA,"  Delicious, can't stop"
3083,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on August 18, 2019",Very tasty snack,  Super tasty!!
3084,Qian Fan,5.0 out of 5 stars,"Reviewed in the United States on May 3, 2019",Good,  So good
3085,L,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2019",Addictive!!!,  Extremely addictive and happy to have a slice of home
3086,Andrew Axelrod,5.0 out of 5 stars,"Reviewed in the United States on May 18, 2019",A special treat,"  pricey, special treat. tasty and addictive."
3087,Hayley Dang,4.0 out of 5 stars,"Reviewed in the United States on May 1, 2019",Luxury treat,  Such a luxury treatslol
3088,Lilly Ly,3.0 out of 5 stars,"Reviewed in the United States on February 3, 2019",You could fry your own fish chips,  Overpriced
3089,Jenny L,5.0 out of 5 stars,"Reviewed in the United States on November 14, 2019",Bomb,  Still the best salted egg fish skins on the market!
3090,I. K. WOLLSCHLAGER,1.0 out of 5 stars,"Reviewed in the United States on January 5, 2019",Takes a while to get it.,  Delicious. I just wish it gets delivered faster.
3091,luan,2.0 out of 5 stars,"Reviewed in the United States on October 30, 2019",so disappointed about the taste,  so disappointed about the taste
3092,Nancy Y,1.0 out of 5 stars,"Reviewed in the United States on January 20, 2020",Not what I had expected,  Not crispy. Eggy taste.
3093,Biz P,5.0 out of 5 stars,"Reviewed in the United States on December 18, 2018",So good,  Addictive
